name,algset,caseid,catalog,alg1,alg2,alg3,alg4,video,videoimg,color,orientation
OLL02,OLL,OLL 2,Dot Case,y' R U' R2' D' r U r' D R2 U R',F R U R' U' S R U R' U' f',y r U r' U2 R U2 R' U2 r U' r',F R U R' U' F' f R U R' U' f',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=665s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylllllyloooooolyyggggggwwwwwwwwwyyyrrrrrryylbbbbbb,0
OLL03,OLL,OLL 3,Dot Case,y R' F2 R2 U2 R' F R U2 R2 F2 R,r' R2 U R' U r U2 r' U M',y' f R U R' U' f' U' F R U R' U' F',M R U R' U r U2 r' U M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=680s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylylllyybbbbbblyyoooooowwwwwwwwwlylgggggglyyrrrrrr,0
OLL04,OLL,OLL 4,Dot Case,y' R' F2 R2 U2 R' F' R U2 R2 F2 R,y' f R U R' U' f' U F R U R' U' F',M U' r U2 r' U' R U' R' M',l L2' U' L U' l' U2 l U' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=690s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllylllylylbbbbbbyyloooooowwwwwwwwwyylggggggyylrrrrrr,0
OLL05,OLL,OLL 5,Square Shapes,r' U2 R U R' U r,y2 l' U2 L U L' U l,y2 R' F2 r U r' F R,r' U2' R U R' U r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=173s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylyyllyoooooolllggggggwwwwwwwwwlyyrrrrrrlyybbbbbb,0
OLL06,OLL,OLL 6,Square Shapes,r U2 R' U' R U' r',r U2' R' U' R U' r',y2 l U2 L' U' L U' l',y' x' D R2 U' R' U R' D' x,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=181s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyylyylllyllooooooyylggggggwwwwwwwwwyylrrrrrrlllbbbbbb,0
OLL07,OLL,OLL 7,Lightning Shapes,r U R' U R U2 r',r U R' U R U2' r',y2 l U L' U L U2 l',F R' F' R U2 R U2 R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=315s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyylylllyyoooooolyyggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL08,OLL,OLL 8,Lightning Shapes,y2 r' U' R U' R' U2 r,l' U' L U' L' U2 l,R U2 R' U2 R' F R F',R' F' r U' r' F2 R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=325s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyyllylllrrrrrryylbbbbbbwwwwwwwwwyylooooooyllgggggg,0
OLL09,OLL,OLL 9,Fish Shapes,y R U R' U' R' F R2 U R' U' F',R U2' R' U' S' R U' R' S,y2 F' U' F r U' r' U r U r',y' L' U' L U' L F' L' F L' U2 L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=237s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyllylyylggggggyllrrrrrrwwwwwwwwwyllbbbbbblyloooooo,0
OLL10,OLL,OLL 10,Fish Shapes,R U R' U R' F R F' R U2 R',y F U F' R' F R U' R' F' R,y M' R' U2 R U R' U R U M,y2 L' U' L U L F' L2 U' L U F,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=250s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyllyllyloooooollyggggggwwwwwwwwwllyrrrrrrlyybbbbbb,0
OLL11,OLL,OLL 11,Lightning Shapes,r' R2 U R' U R U2 R' U M',M R U R' U R U2 R' U M',y2 r U R' U R' F R F' R U2 r',y2 S' U2 R U R' U R U2 R' S,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=338s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyyyylllyoooooollyggggggwwwwwwwwwlylrrrrrrlyybbbbbb,0
OLL12,OLL,OLL 12,Lightning Shapes,y' M' R' U' R U' R' U2 R U' M,y' S R' U' R U' R' U2' R U2 S',F R U R' U' F' U F R U R' U' F',y' r R2 U' R U' R' U2 R U' R r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=349s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llylyylylyllooooooyllggggggwwwwwwwwwyylrrrrrrlylbbbbbb,0
OLL13,OLL,OLL 13,Knight Move Shapes,F U R U2 R' U' R U R' F',F U R U' R2 F' R U R U' R',r U' r' U' r U r' F' U F,r U' r' U' r U r' y L' U L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=474s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyyyllllyoooooolyyggggggwwwwwwwwwlllrrrrrrlyybbbbbb,0
OLL14,OLL,OLL 14,Knight Move Shapes,R' F R U R' F' R F U' F',r U R' U' r' F R2 U R' U' F',F' U' L' U L2 F L' U' L' U L,l' U l U l' U' l F U' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=486s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyyllylllooooooyylggggggwwwwwwwwwyllrrrrrryylbbbbbb,0
OLL15,OLL,OLL 15,Knight Move Shapes,y2 l' U' l L' U' L U l' U l,r' U' r R' U' R U r' U r,r' U' M' U' R U r' U r,y2 R' F' R L' U' L U R' F R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=501s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyyllyllyoooooolylggggggwwwwwwwwwllyrrrrrrlyybbbbbb,0
OLL16,OLL,OLL 16,Knight Move Shapes,r U r' R U R' U' r U' r',r U M U R' U' r U' r',y2 l U l' L U L' U' l U' l',y2 F R U R' U' F' R U2 R' U' R U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=515s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyylllyllooooooyylggggggwwwwwwwwwyllrrrrrrlylbbbbbb,0
OLL17,OLL,OLL 17,Dot Case,R U R' U R' F R F' U2 R' F R F',y2 F R' F' R U S' R U' R' S,y' F' r U r' U' S r' F r S',y2 F R' F' R2 r' U R U' R' U' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=705s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylllylllylyloooooolylggggggwwwwwwwwwlyyrrrrrryylbbbbbb,0
OLL18,OLL,OLL 18,Dot Case,y R U2 R2 F R F' U2 M' U R U' r',R D r' U' r D' R' U' R2 F R F' R,y F S' R U' R' S R U2' R' U' F',r U R' U R U2 r2 U' R U' R' U2 r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=719s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylylllllylooooooyyyggggggwwwwwwwwwlylrrrrrrlylbbbbbb,0
OLL19,OLL,OLL 19,Dot Case,y S' R U R' S U' R' F R F',M U R U R' U' M' R' F R F',y2 r U2 R' U' R U' r2 U2 R U R' U r,M U' L' U' L U M' L F' L' F,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=737s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylyllllyyloooooolylggggggwwwwwwwwwlyyrrrrrrlylbbbbbb,0
OLL20,OLL,OLL 20,Dot Case,S' R U R' S U' M' U R U' r',r U R' U' M2 U R U' R' U' M',S R' U' R U R U R U' R' S',M U R U R' U' M2 U R U' r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=750s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylylylylyloooooolylggggggwwwwwwwwwlylrrrrrrlylbbbbbb,0
OLL21,OLL,OLL 21,COLL,R U R' U R U' R' U R U2 R',y R U2 R' U' R U R' U' R U' R',y F R U R' U' R U R' U' R U R' U' F',y R' U2 R U R' U' R U R' U R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=11s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyyylylylygggggglllrrrrrrwwwwwwwwwylybbbbbbllloooooo,0
OLL22,OLL,OLL 22,COLL,R U2 R2 U' R2 U' R2 U2 R,R' U2 R2 U R2 U R2 U2 R',R U2' R2' U' R2 U' R2' U2' R,f R U R' U' S' R U R' U' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=25s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyyylylllloooooollyggggggwwwwwwwwwylyrrrrrryllbbbbbb,0
OLL23,OLL,OLL 23,COLL,R2 D R' U2 R D' R' U2 R',y2 R2 D' R U2 R' D R U2 R,R U R' U R U2 R2 U' R U' R' U2 R,y2 R' U' R U' R' U2' R2 U R' U R U2' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=39s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyyyyylyllllooooooylyggggggwwwwwwwwwlllrrrrrrlllbbbbbb,0
OLL24,OLL,OLL 24,COLL,r U R' U' r' F R F',y2 R' F' r U R U' r' F,y' R' U' R' D' R U R' D R2,y R U R D R' U' R D' R2,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=52s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyyyyylyylllooooooyllggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL25,OLL,OLL 25,COLL,y F' r U R' U' r' F R,F R' F' r U R U' r',y R2 D R' U R D' R' U' R',y' x' R U' R' D R U R' D' x,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=63s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yylyyylyyllyggggggyllrrrrrrwwwwwwwwwlllbbbbbbllloooooo,0
OLL26,OLL,OLL 26,COLL,y R U2 R' U' R U' R',R' U' R U' R' U2 R,y2 L' U' L U' L' U2 L,y R U2' R' U' R U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=74s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yylyyylylyllggggggyllrrrrrrwwwwwwwwwlllbbbbbbylloooooo,0
OLL27,OLL,OLL 27,COLL,R U R' U R U2 R',y' R' U2 R U R' U R,R U R' U R U2' R',y L' U2 L U L' U L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=84s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyyyyylllyoooooollyggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL28,OLL,OLL 28,All Corners Oriented,r U R' U' M U R U' R',y2 M' U M U2 M' U M,R' F R S R' F' R S',r U R' U' r' R U R U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=97s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyyyylylylyloooooolylggggggwwwwwwwwwlllrrrrrrlllbbbbbb,0
OLL29,OLL,OLL 29,Awkward Shapes,r2 D' r U r' D r2 U' r' U' r,y R U R' U' R U' R' F' U' F R U R',y S' R U R' U' R' F R F' U S,M U R U R' U' R' F R F' M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=589s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyllylyyloooooolllggggggwwwwwwwwwllyrrrrrrlylbbbbbb,0
OLL30,OLL,OLL 30,Awkward Shapes,y' r' D' r U' r' D r2 U' r' U r U r',y2 F R' F R2 U' R' U' R U R' F2,y2 F U R U2 R' U' R U2 R' U' F',y S' R' U' R f R' U R U' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=605s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylyylylyllrrrrrrlllbbbbbbwwwwwwwwwlyyoooooolylgggggg,0
OLL31,OLL,OLL 31,P Shapes,R' U' F U R U' R' F' R,y S R U R' U' f' U' F,y2 S' r' F' r U r U' r' f,y' F R' F' R U R U R' U' R U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=195s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyylyyllylllooooooyylggggggwwwwwwwwwlylrrrrrrllybbbbbb,0
OLL32,OLL,OLL 32,P Shapes,S R U R' U' R' F R f',y2 L U F' U' L' U L F L',R U B' U' R' U R B R',y' R' F R F' U' r U' r' U r U r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=208s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llylyylyylllooooooyllggggggwwwwwwwwwlylrrrrrrlyybbbbbb,0
OLL33,OLL,OLL 33,T Shapes,R U R' U' R' F R F',y2 L' U' L U L F' L' F,y2 r' F' r U r U' r' F,y r U r D r' U' r D' r2',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=120s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyyllylllooooooyylggggggwwwwwwwwwlllrrrrrrlyybbbbbb,0
OLL34,OLL,OLL 34,C Shapes,y f R f' U' r' U' R U M',y2 R U R2 U' R' F R U R U' F',y2 R U R' U' B' R' F R F' B,F R U R' U' R' F' r U R U' r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=288s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyylllyllrrrrrrlylbbbbbbwwwwwwwwwllyoooooolylgggggg,0
OLL35,OLL,OLL 35,Fish Shapes,R U2 R2 F R F' R U2 R',R U2' R2' F R F' R U2' R',y2 R2' F R F' R U2' R' U R U2 R' U' R,R U2 R' d' R' F R U' R' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=264s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylllyylyyllyooooooyllggggggwwwwwwwwwlylrrrrrrlylbbbbbb,0
OLL36,OLL,OLL 36,W Shapes,y2 L' U' L U' L' U L U L F' L' F,y R U R2 F' U' F U R2 U2 R',y2 R U R' F' R U R' U' R' F R U' R' F R F',y2 R' F' U' F2 U R U' R' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=145s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yllyyllyylyyrrrrrryllbbbbbbwwwwwwwwwllloooooolylgggggg,0
OLL37,OLL,OLL 37,Fish Shapes,F R' F' R U R U' R',F R U' R' U' R U R' F',y F' r U r' U' r' F r,y2 r2 D' r U' r' D r U r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=277s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yylyylllylyyooooooyylggggggwwwwwwwwwlllrrrrrrlllbbbbbb,0
OLL38,OLL,OLL 38,W Shapes,R U R' U R U' R' U' R' F R F',y F R U' R' S U' R U R' f',y2 L U L' U L U' L' U' L' B L B',y2 r' F' r U F U2 F' U' r' F' r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=158s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyyyylyllyyloooooolylggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL39,OLL,OLL 39,Lightning Shapes,y' f' r U r' U' r' F r S,y L F' L' U' L U F U' L',y' R U R' F' U' F U R U2 R',y' R B' R' U' R U B U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=360s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyllyllyylylgggggglllrrrrrrwwwwwwwwwlyybbbbbbylloooooo,0
OLL40,OLL,OLL 40,Lightning Shapes,y R' F R U R' U' F' U R,y' f R' F' R U R U' R' S',U F R U R' F' R' F U' F' U R,R r D r' U r D' r' U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=377s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyylylyyllylggggggllyrrrrrrwwwwwwwwwyylbbbbbbllloooooo,0
OLL41,OLL,OLL 41,Awkward Shapes,y2 R U R' U R U2 R' F R U R' U' F',y2 F U R2 D R' U' R D' R2 F',y' S U' R' F' U' F U R S',y2 R' F' U' F R S' R' U R S,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=622s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylyylyllllrrrrrrylybbbbbbwwwwwwwwwlyloooooolylgggggg,0
OLL42,OLL,OLL 42,Awkward Shapes,R' U' R U' R' U2 R F R U R' U' F',y F S' R U R' U' F' U S,y R' U' F2 u' R U R' D R2 B,y R' F R F' R' F R F' R U R' U' R U R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=639s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyllyllylooooooylyggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
OLL43,OLL,OLL 43,P Shapes,y R' U' F' U F R,y2 F' U' L' U L F,f' L' U' L U f,y' r' F' U' F U r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=219s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yllyylyylyyyoooooolllggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
OLL44,OLL,OLL 44,P Shapes,y2 F U R U' R' F',f R U R' U' f',y R U B U' B' R',y' F R U' R' F' L' U L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=227s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llylyylyyllloooooolllggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
OLL45,OLL,OLL 45,T Shapes,F R U R' U' F',y R' F' U' F U R,y2 f U R U' R' f',y' R B U B' U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=132s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyyllyllloooooolylggggggwwwwwwwwwylyrrrrrrlylbbbbbb,0
OLL46,OLL,OLL 46,C Shapes,R' U' R' F R F' U R,y2 r' U' F R' F' R U r,y2 L U L F' L' F U' L',y2 L F U' R U R' F' L',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=300s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyllylyylyyyoooooolllggggggwwwwwwwwwlylrrrrrrlllbbbbbb,0
OLL47,OLL,OLL 47,L Shapes,F' L' U' L U L' U' L U F,y' F R' F' R U2 R U' R' U R U2 R',R' U' R' F R F' R' F R F' U R,y2 f' U' L' U L U' L' U L f,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=390s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyylllylyooooooyylggggggwwwwwwwwwlylrrrrrrllybbbbbb,0
OLL48,OLL,OLL 48,L Shapes,F R U R' U' R U R' U' F',y2 f U R U' R' U R U' R' f',y2 R U R' U R U2 R' U' F R U R' U' F',R U2 R' U' R U R' U2 R' F R F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=405s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyylllllyloooooolyyggggggwwwwwwwwwylyrrrrrryllbbbbbb,0
OLL49,OLL,OLL 49,L Shapes,y2 r U' r2 U r2 U r2 U' r,R B' R2 F R2 B R2 F' R,l U' l2 U l2 U l2 U' l,R B' R2' F R2 B R2' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=417s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyllylyyyrrrrrryllbbbbbbwwwwwwwwwllloooooolyygggggg,0
OLL50,OLL,OLL 50,L Shapes,r' U r2 U' r2 U' r2 U r',y2 R' F R2 B' R2 F' R2 B R',y2 l' U l2 U' l2 U' l2 U l',y2 R' F R2 B' R2' F' R2 B R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=429s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylylllloooooollyggggggwwwwwwwwwyyyrrrrrryylbbbbbb,0
OLL51,OLL,OLL 51,Line Shapes,y2 F U R U' R' U R U' R' F',f R U R' U' R U R' U' f',y' R' U' R' F R F' R U' R' U2 R,R U2' R' U2 R' F R2 U R' U' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=529s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyylllllloooooolyyggggggwwwwwwwwwylyrrrrrryylbbbbbb,0
OLL52,OLL,OLL 52,Line Shapes,y2 R' F' U' F U' R U R' U R,R U R' U R U' B U' B' R',R U R' U R d' R U' R' F',R U R' U R U' y R U' R' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=540s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyllylyyyggggggyllrrrrrrwwwwwwwwwlylbbbbbbllyoooooo,0
OLL53,OLL,OLL 53,L Shapes,y r' U2 R U R' U' R U R' U r,y2 l' U' L U' L' U L U' L' U2 l,r' U' R U' R' U R U' R' U2 r,y' l' U2 L U L' U' L U L' U l,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=443s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylylylyoooooolllggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
OLL54,OLL,OLL 54,L Shapes,r U R' U R U' R' U R U2 r',y' r U2 R' U' R U R' U' R U' r',y2 l U L' U L U' L' U L U2 l',r U R' U R U' R' U R U2' r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=458s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyylllylyoooooolylggggggwwwwwwwwwyyyrrrrrrlllbbbbbb,0
OLL55,OLL,OLL 55,Line Shapes,y R' F U R U' R2 F' R2 U R' U' R,y R' F R U R U' R2 F' R2 U' R' U R U R',R U2 R2 U' R U' R' U2 F R F',y F U' R2 D R' U2 R D' R2 U F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=556s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyllylyyyoooooolllggggggwwwwwwwwwyyyrrrrrrlllbbbbbb,0
OLL56,OLL,OLL 56,Line Shapes,r U r' U R U' R' M' U R U2 r',r U r' U R U' R' U R U' R' r U' r',F R U R' U' R F' r U R' U' r',R' F' R U' r' F r M' U' r' F2 R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=573s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyylllylyoooooolylggggggwwwwwwwwwylyrrrrrrlylbbbbbb,0
OLL57,OLL,OLL 57,All Corners Oriented,R U R' U' M' U R U' r',y R U' R' S' R U R' S,y R U R' S' R U' R' S,y S R' F R S' R' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=109s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyyylyllloooooolylggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
PLL01,PLL,Aa,Adj Swap,x R' U R' D2 R U' R' D2 R2 x',y x' R2 D2 R' U' R D2 R' U R' x,R' B' R2 D R' U' R D' R' U R' B R,y' x L2 D2 L' U' L D2 L' U L',https://www.youtube.com/watch?v=TWN9LNCHQY8&start=7s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyyrogooooooggbggggggwwwwwwwwwbrrrrrrrrobobbbbbb,0
PLL02,PLL,Ab,Adj Swap,x R2 D2 R U R' D2 R U' R x',R' B' R U' R D R' U R D' R2' B R,y x' R U' R D2 R' U R D2 R2 x,y' x L U' L D2 L' U L D2 L2,https://www.youtube.com/watch?v=TWN9LNCHQY8&start=19s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyybobooooooggoggggggwwwwwwwwworrrrrrrrrbgbbbbbb,0
PLL03,PLL,E,Opp Swap,y x' R U' R' D R U R' D' R U R' D R U' R' D' x,y R' U' R' D' R U' R' D R U R' D' R U R' D R2,R2 U R' d' R U R' U' R U R' U' R U R' F U' F2,y x' R U' R' D R U R' u2 R' U R D R' U' R,https://www.youtube.com/watch?v=Ge5OOjD9k_k&start=0s,https://img.youtube.com/vi/Ge5OOjD9k_k/0.jpg,yyyyyyyyyrgogggggggrbrrrrrrwwwwwwwwwobrbbbbbbbogoooooo,0
PLL04,PLL,F,Adj Swap,y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,R' U R U' R2 F' U' F U R F R' F' R2,y R' F R f' R' F R2 U R' U' R' F' R2 U R' S,y R2' F R F' R' U' F' U F R2 U R' U' R,https://www.youtube.com/watch?v=JvqGU0UZPcE&start=135s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyygboggggggrrrrrrrrrwwwwwwwwwogbbbbbbbbogoooooo,0
PLL05,PLL,Ga,Adj Swap,R2 U R' U R' U' R U' R2 D U' R' U R D',R2 u R' U R' U' R u' R2 F' U F,D' R2 U R' U R' U' R U' R2 U' D R' U R,R2 u R' U R' U' R u' R2 y L' U L,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=23s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybrgoooooogooggggggwwwwwwwwwrbrrrrrrrogbbbbbbb,0
PLL06,PLL,Gb,Adj Swap,R' U' R U D' R2 U R' U R U' R U' R2 D,y F' U' F R2 u R' U R U' R u' R2,R' d' F R2 u R' U R U' R u' R2,D R' U' R U D' R2 U R' U R U' R U' R2,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=46s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybggoooooogboggggggwwwwwwwwwrorrrrrrrorbbbbbbb,0
PLL07,PLL,Gc,Adj Swap,R2 U' R U' R U R' U R2 D' U R U' R' D,y2 R2 F2 R U2 R U2 R' F R U R' U' R' F R2,R2' u' R U' R U R' u R2 f R' f',R2' U' R U' R U R' U R2 D' U R U' R' D,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=150s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybrgoooooogboggggggwwwwwwwwwrgrrrrrrroobbbbbbb,0
PLL08,PLL,Gd,Adj Swap,R U R' U' D R2 U' R U' R' U R' U R2 D',D' R U R' U' D R2 U' R U' R' U R' U R2,R U R' y' R2 u' R U' R' U R' u R2,y R2 F' R U R U' R' F' R U2 R' U2 R' F2 R2,https://www.youtube.com/watch?v=nBMCuMiSFIg&start=154s,https://img.youtube.com/vi/nBMCuMiSFIg/0.jpg,yyyyyyyyybbgoooooogroggggggwwwwwwwwwrorrrrrrrogbbbbbbb,0
PLL09,PLL,H,EPLL,M2 U M2 U2 M2 U M2,M2 U' M2 U2 M2 U' M2,M2' U' M2' U2' M2' U' M2',M2' U M2' U2 M2' U M2',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=13s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyorooooooogbgggggggwwwwwwwwwrorrrrrrrbgbbbbbbb,0
PLL10,PLL,Ja,Adj Swap,y2 x R2 F R F' R U2 r' U r U2 x',L' U' L F L' U' L U L F' L2 U L,y R' U L' U2 R U' R' U2 R L,y2 M' R' F R F' R U2 r' U r U2 r',https://www.youtube.com/watch?v=TWN9LNCHQY8&start=104s,https://img.youtube.com/vi/TWN9LNCHQY8/0.jpg,yyyyyyyyyrrrggggggoobrrrrrrwwwwwwwwwbbgbbbbbbggooooooo,0
PLL11,PLL,Jb,Adj Swap,R U R' F' R U R' U' R' F R2 U' R',R U2 R' U' R U2 L' U R' U' L,r' F R F' r U2 R' U R U2 R',R U' F U' R' U' R U F' U2' R',https://www.youtube.com/watch?v=JvqGU0UZPcE&start=171s,https://img.youtube.com/vi/JvqGU0UZPcE/0.jpg,yyyyyyyyyorroooooorggggggggwwwwwwwwwbbbrrrrrrgoobbbbbb,0
PLL12,PLL,Na,Opp Swap,R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R',F' R U R' U' R' F R2 F U' R' U' R U F' R',R F U' R' U R U F' R2' F' R U R U' R' F,r' D r U2 r' D r U2 r' D r U2 r' D r U2 r' D r,,,yyyyyyyyyorroooooobggggggggwwwwwwwwwroorrrrrrgbbbbbbbb,0
